datetime;ip;operation;ok;http_status;message
2026-09-02T18:36:21;10.77.171.25;prepare;YES;200;9.wav загружен, размер 240044
2026-09-02T18:38:31;10.77.171.25;offline;YES;200;assistant.enable=true, online=false
2026-09-02T18:40:30;10.77.171.25;finish;YES;204;"9.wav deleted; assistant.enable=true, online=true"
2026-09-02T18:43:16;10.88.171.5;prepare;NO;404;assistant/settings: {}
2026-09-02T18:43:16;10.85.171.12;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.90.171.38;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.65.1.18;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.65.1.17;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.93.78.3;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.85.171.11;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.88.107.3;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.88.90.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.87.180.3;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.80.72.15;prepare;NO;200;пропущена панель ''
2026-09-02T18:43:16;10.88.107.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.80.72.18;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.80.72.17;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.84.195.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.80.72.14;prepare;NO;404;assistant/settings: {}
2026-09-02T18:43:16;10.80.72.13;prepare;NO;404;assistant/settings: {}
2026-09-02T18:43:16;10.77.171.7;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.80.72.12;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.86.171.8;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.88.171.6;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.86.171.7;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.65.1.11;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.67.1.12;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.72.171.3;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.65.71.6;prepare;NO;404;список файлов: {}
2026-09-02T18:43:16;10.72.171.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.69.81.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.90.171.4;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.100.61.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.66.171.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.88.171.9;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.75.229.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.69.1.4;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.86.90.2;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.69.1.6;prepare;NO;404;список файлов: {}
2026-09-02T18:43:17;10.69.1.5;prepare;NO;404;список файлов: {}
